,(0  1  2),(0  1  3),(0  1  4),(0  1  5),(0  1  6),(0  2  4),(0  2  5),(0  2  6),(0  2  7),(0  3  6),(0  3  7),(0  4  8),(0  1  2  3),(0  1  2  4),(0  1  2  5),(0  1  2  6),(0  1  2  7),(0  1  3  4),(0  1  3  5),(0  1  3  6),(0  1  3  7),(0  1  4  5),(0  1  4  6),(0  1  4  7),(0  1  4  8),(0  1  5  6),(0  1  5  7),(0  1  5  8),(0  1  6  7),(0  2  3  5),(0  2  3  6),(0  2  3  7),(0  2  4  6),(0  2  4  7),(0  2  4  8),(0  2  5  7),(0  2  5  8),(0  2  6  8),(0  3  4  7),(0  3  5  8),(0  3  6  9),(0  1  2  3  4),(0  1  2  3  5),(0  1  2  3  6),(0  1  2  3  7),(0  1  2  4  5),(0  1  2  4  6),(0  1  2  4  7),(0  1  2  4  8),(0  1  2  5  6),(0  1  2  5  7),(0  1  2  5  8),(0  1  2  6  7),(0  1  2  6  8),(0  1  3  4  6),(0  1  3  4  7),(0  1  3  4  8),(0  1  3  5  6),(0  1  3  5  7),(0  1  3  5  8),(0  1  3  6  7),(0  1  3  6  8),(0  1  3  6  9),(0  1  3  7  8),(0  1  4  5  7),(0  1  4  5  8),(0  1  4  6  8),(0  1  4  6  9),(0  1  4  7  8),(0  2  3  4  6),(0  2  3  4  7),(0  2  3  5  7),(0  2  3  5  8),(0  2  3  6  8),(0  2  4  5  8),(0  2  4  6  8),(0  2  4  6  9),(0  2  4  7  9),(0  3  4  5  8),(0  1  2  3  4  5),(0  1  2  3  4  6),(0  1  2  3  4  7),(0  1  2  3  4  8),(0  1  2  3  5  6),(0  1  2  3  5  7),(0  1  2  3  5  8),(0  1  2  3  6  7),(0  1  2  3  6  8),(0  1  2  3  6  9),(0  1  2  3  7  8),(0  1  2  4  5  6),(0  1  2  4  5  7),(0  1  2  4  5  8),(0  1  2  4  6  7),(0  1  2  4  6  8),(0  1  2  4  6  9),(0  1  2  4  7  8),(0  1  2  4  7  9),(0  1  2  5  6  7),(0  1  2  5  6  8),(0  1  2  5  6  9),(0  1  2  5  7  8),(0  1  2  5  7  9),(0  1  2  6  7  8),(0  1  3  4  5  7),(0  1  3  4  5  8),(0  1  3  4  6  7),(0  1  3  4  6  8),(0  1  3  4  6  9),(0  1  3  4  7  8),(0  1  3  4  7  9),(0  1  3  5  6  8),(0  1  3  5  6  9),(0  1  3  5  7  8),(0  1  3  5  7  9),(0  1  3  5  8  9),(0  1  3  6  7  9),(0  1  3  6  8  9),(0  1  4  5  6  8),(0  1  4  5  8  9),(0  1  4  6  7  9),(0  2  3  4  5  7),(0  2  3  4  5  8),(0  2  3  4  6  8),(0  2  3  4  6  9),(0  2  3  5  6  8),(0  2  3  5  7  9),(0  2  4  5  7  9),(0  2  4  6  8  10),(0  1  2  3  4  5  6),(0  1  2  3  4  5  7),(0  1  2  3  4  5  8),(0  1  2  3  4  6  7),(0  1  2  3  4  6  8),(0  1  2  3  4  6  9),(0  1  2  3  4  7  8),(0  1  2  3  4  7  9),(0  1  2  3  5  6  7),(0  1  2  3  5  6  8),(0  1  2  3  5  6  9),(0  1  2  3  5  7  8),(0  1  2  3  5  7  9),(0  1  2  3  5  8  9),(0  1  2  3  6  7  8),(0  1  2  3  6  7  9),(0  1  2  4  5  6  8),(0  1  2  4  5  6  9),(0  1  2  4  5  7  8),(0  1  2  4  5  7  9),(0  1  2  4  5  8  9),(0  1  2  4  6  7  8),(0  1  2  4  6  7  9),(0  1  2  4  6  8  9),(0  1  2  4  6  8  10),(0  1  2  4  7  8  9),(0  1  2  5  6  8  9),(0  1  3  4  5  6  8),(0  1  3  4  5  7  8),(0  1  3  4  5  7  9),(0  1  3  4  6  7  9),(0  1  3  4  6  8  9),(0  1  3  4  6  8  10),(0  1  3  5  6  7  9),(0  1  3  5  6  8  10),(0  2  3  4  5  6  8),(0  2  3  4  5  7  9),(0  2  3  4  6  7  9),(0  1  2  3  4  5  6  7),(0  1  2  3  4  5  6  8),(0  1  2  3  4  5  6  9),(0  1  2  3  4  5  7  8),(0  1  2  3  4  5  7  9),(0  1  2  3  4  5  8  9),(0  1  2  3  4  6  7  8),(0  1  2  3  4  6  7  9),(0  1  2  3  4  6  8  9),(0  1  2  3  4  6  8  10),(0  1  2  3  4  7  8  9),(0  1  2  3  5  6  7  8),(0  1  2  3  5  6  7  9),(0  1  2  3  5  6  8  9),(0  1  2  3  5  6  8  10),(0  1  2  3  5  7  8  9),(0  1  2  3  5  7  8  10),(0  1  2  3  6  7  8  9),(0  1  2  4  5  6  7  9),(0  1  2  4  5  6  8  9),(0  1  2  4  5  6  8  10),(0  1  2  4  5  7  8  9),(0  1  2  4  5  7  8  10),(0  1  2  4  5  7  9  10),(0  1  2  4  6  7  8  10),(0  1  3  4  5  6  7  9),(0  1  3  4  5  6  8  9),(0  1  3  4  6  7  9  10),(0  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  7  8),(0  1  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  8  9),(0  1  2  3  4  5  6  8  10),(0  1  2  3  4  5  7  8  9),(0  1  2  3  4  5  7  8  10),(0  1  2  3  4  6  7  8  9),(0  1  2  3  4  6  7  8  10),(0  1  2  3  4  6  7  9  10),(0  1  2  3  5  6  7  8  10),(0  1  2  3  5  6  7  9  10),(0  1  2  4  5  6  8  9  10),(0  1  2  3  4  5  6  7  8  9),(0  1  2  3  4  5  6  7  8  10),(0  1  2  3  4  5  6  7  9  10),(0  1  2  3  4  5  6  8  9  10),(0  1  2  3  4  5  7  8  9  10),(0  1  2  3  4  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10  11)
23/ii,1.04,2.91,4.62,1.76,0.82,0.82,1.54,1.48,0.82,1.26,1.48,0.77,0.93,2.69,0.99,0.49,0.27,0.88,1.04,0.44,0.22,1.15,0.66,1.48,1.70,0.16,0.33,0.05,0.11,0.77,1.37,0.71,0.16,1.43,0.88,0.22,0.38,0.00,0.49,0.27,0.05,1.04,1.04,0.82,0.22,0.71,0.22,0.44,1.15,0.77,0.11,0.49,0.11,0.05,1.04,1.04,0.22,0.16,0.11,0.66,0.16,0.38,0.55,0.11,0.55,0.93,0.05,0.33,0.33,0.66,0.55,0.49,0.44,0.44,1.15,0.11,0.11,0.22,0.88,0.16,0.49,1.37,0.49,0.88,0.11,0.66,0.22,0.16,1.81,0.00,0.00,0.22,1.10,0.05,0.00,0.05,0.00,0.11,0.27,0.22,0.82,0.11,0.00,0.00,0.38,0.16,0.27,0.33,0.55,0.71,0.66,0.38,0.22,0.05,0.27,0.49,0.11,0.16,0.38,0.00,0.11,0.33,2.31,0.22,0.16,0.16,0.27,0.27,0.00,0.22,0.38,1.54,0.22,0.16,0.77,0.27,0.05,0.11,0.66,2.20,0.16,0.22,1.15,0.05,0.44,0.55,0.00,0.16,0.00,0.49,0.00,0.16,0.00,0.00,0.00,0.16,0.11,0.05,0.93,0.27,0.60,0.55,0.00,0.11,0.55,0.05,0.11,0.11,0.49,0.27,0.77,0.38,0.93,0.05,0.16,0.33,0.16,0.00,0.11,0.33,0.16,0.11,0.05,0.11,0.00,0.00,0.44,0.00,0.00,0.22,0.11,0.00,0.82,0.00,0.05,0.11,0.05,0.49,0.11,0.05,0.44,0.22,0.00,0.27,0.22,0.00,0.27,0.00,0.00,0.22,0.22,0.00,0.38,0.00,0.16,0.00
23/i,0.95,2.23,3.54,2.78,1.82,0.49,1.28,1.55,0.27,0.84,1.06,0.65,0.44,1.88,1.63,0.71,0.19,0.33,0.60,0.41,0.98,1.50,0.98,0.93,1.06,0.65,0.41,0.16,0.46,0.52,1.12,0.71,0.24,0.16,0.63,0.16,0.44,0.14,0.82,0.19,0.11,0.49,1.39,0.52,0.22,0.95,0.33,0.33,1.80,1.14,0.24,0.11,0.60,0.16,0.38,1.50,0.11,0.03,0.19,0.19,0.63,0.30,0.22,0.44,0.71,0.76,0.14,0.60,0.27,0.54,0.52,0.22,0.49,0.27,0.65,0.16,0.03,0.11,0.57,0.49,0.63,0.60,0.46,0.22,0.30,0.19,0.33,0.24,0.08,0.16,0.14,0.41,0.93,0.00,0.19,0.05,0.30,0.27,0.49,0.46,0.65,0.22,0.05,0.19,0.54,0.38,0.35,0.22,0.44,0.22,0.33,0.05,0.30,0.03,0.57,0.24,0.03,0.30,0.65,0.00,0.24,0.27,2.07,0.27,0.16,0.08,0.14,0.03,0.00,0.14,0.30,0.95,0.19,0.27,0.44,0.16,0.08,0.14,0.38,0.52,0.27,0.41,1.33,1.28,0.27,1.31,0.19,0.52,0.08,0.49,0.05,0.03,0.00,0.03,0.11,0.03,0.22,0.05,0.03,0.30,0.38,0.41,0.16,0.03,0.16,0.16,0.65,0.03,0.71,0.33,0.14,0.24,1.55,0.71,0.19,0.00,0.22,0.05,0.14,1.12,0.44,0.46,0.14,0.00,0.71,0.03,0.52,0.00,0.05,0.14,0.05,0.00,0.24,0.33,0.00,0.44,0.16,0.71,0.87,0.14,0.76,0.49,0.82,0.11,0.08,0.00,0.68,0.03,0.27,0.41,0.33,0.49,0.52,0.00,0.95,0.44
24/i,1.16,1.69,11.04,3.56,2.49,1.25,0.98,4.19,0.18,0.80,4.81,2.32,0.45,0.62,0.27,1.34,0.45,0.09,1.16,0.18,0.62,0.80,0.62,1.42,5.08,0.36,0.27,1.69,0.45,0.09,0.45,0.80,0.89,0.71,1.34,0.00,1.51,1.60,0.53,0.18,0.18,0.09,0.00,0.45,0.18,0.00,0.45,0.89,0.62,0.09,0.00,1.42,0.53,0.80,0.00,0.09,0.45,0.27,0.62,0.71,0.18,0.00,0.45,0.45,0.36,2.32,0.62,0.71,0.53,0.00,0.45,0.27,0.27,0.80,1.51,1.78,0.71,0.09,0.98,0.00,0.09,0.09,0.27,0.00,0.00,0.09,0.18,0.09,0.45,0.00,0.00,0.09,0.09,0.27,1.07,1.34,0.18,0.00,0.00,0.09,0.62,0.00,0.45,0.18,0.00,0.18,0.00,0.27,0.00,0.45,0.09,0.18,0.53,0.27,2.05,1.34,0.18,0.18,0.98,0.27,0.00,0.00,0.18,0.36,0.09,0.00,0.00,0.27,0.27,0.00,0.00,0.00,0.00,0.18,0.09,0.09,0.00,0.00,0.00,0.18,0.09,0.00,0.18,0.00,0.27,0.36,0.09,0.00,0.36,0.36,0.18,0.09,1.51,0.62,0.00,0.09,0.00,0.00,0.09,0.00,0.27,0.00,0.80,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.36,0.00,0.00,0.00,0.09,0.00,0.00,0.18,0.00,0.00,0.00,0.18,0.18,0.00,0.09,0.00,0.36,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25/i,2.85,3.89,5.84,1.30,0.26,0.13,0.91,0.39,0.13,0.91,0.65,0.13,2.08,2.33,1.04,0.52,0.52,2.98,0.78,0.13,0.00,1.43,0.00,0.91,0.78,0.00,0.26,0.13,0.00,0.78,0.91,0.13,0.00,0.13,0.00,0.00,0.13,0.00,1.04,0.13,0.00,2.59,2.98,0.39,0.26,1.43,0.00,0.65,0.13,0.26,0.26,0.39,0.26,0.00,1.56,1.30,0.26,0.13,0.00,0.00,0.13,0.13,0.13,0.13,0.65,1.82,0.13,0.26,0.39,0.13,0.00,0.13,0.26,0.00,0.13,0.00,0.00,0.00,0.26,4.67,3.37,0.65,0.00,0.78,0.00,0.39,0.13,0.26,0.26,0.00,0.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.65,0.13,0.00,0.00,0.52,0.65,0.26,0.26,0.52,1.04,0.13,0.00,0.78,0.00,0.00,0.13,0.00,0.00,0.13,0.00,0.13,0.00,0.26,0.00,0.13,0.13,0.00,0.00,0.00,3.76,2.72,0.52,1.17,0.00,0.91,0.52,0.26,0.26,0.00,0.52,0.00,0.00,0.39,0.39,0.13,0.13,0.00,0.39,0.13,0.26,0.00,0.00,0.00,0.00,0.00,0.39,0.13,0.65,0.13,0.26,1.69,0.00,0.00,0.00,0.13,0.00,0.39,1.04,1.30,0.39,1.04,0.13,0.78,0.13,0.00,0.26,0.00,0.26,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.26,0.65,0.00,0.00,0.26,0.52,0.00,0.78,0.00,0.00,0.52,0.91,0.52,1.82,0.00,0.26,0.00,0.00,0.00,0.26,0.00,0.52,0.00,0.39,0.00,0.39,0.13,0.00,0.00,0.00,0.00
24/ii,0.00,6.57,4.32,6.94,2.25,4.88,0.56,3.75,0.75,2.25,0.19,4.13,0.75,3.00,0.19,1.13,0.00,0.94,6.57,1.13,0.56,0.94,0.38,0.00,4.50,2.25,0.75,0.19,0.38,0.00,1.69,0.19,1.31,0.00,2.06,0.38,0.75,0.75,0.56,0.00,0.00,0.19,0.38,0.56,0.00,1.13,3.00,0.00,1.88,0.19,0.00,0.75,0.94,0.00,0.00,0.38,0.00,1.31,0.75,0.19,0.19,0.00,0.00,0.56,0.00,0.56,0.00,0.00,0.75,0.00,0.56,0.00,0.00,0.38,7.88,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,1.88,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.38,0.00,0.00,0.00,0.19,0.00,0.00,0.19,0.00,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.38,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/iii,2.46,1.70,9.38,3.79,3.31,1.42,0.19,8.62,0.09,0.38,0.66,0.76,0.95,1.23,1.14,2.08,0.09,0.47,0.76,0.00,0.95,2.27,0.47,0.28,0.85,1.14,0.19,0.19,0.47,0.00,0.57,0.66,2.18,0.09,1.52,0.00,0.47,1.14,0.66,0.00,0.00,0.19,0.47,0.85,0.47,1.23,2.08,0.00,0.57,0.57,0.28,0.95,0.66,0.00,0.00,1.52,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.38,1.14,0.09,0.38,0.00,0.09,0.28,0.28,0.38,0.00,0.09,0.00,1.33,0.38,0.00,0.09,0.38,0.38,0.00,0.19,0.09,0.28,0.00,1.61,0.19,0.00,0.00,0.19,0.66,0.85,0.38,0.76,0.19,0.00,0.00,0.28,0.09,0.00,0.76,0.00,0.00,0.76,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.19,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.09,0.38,0.85,0.00,0.76,0.00,0.19,0.00,0.00,0.95,0.00,0.09,0.00,0.28,0.19,0.00,0.57,1.23,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.57,0.38,0.00,2.27,0.47,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.38,1.70,0.47,0.00,0.00,1.89,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.85,0.19,0.00,0.57,0.00,0.00,0.00
25/iii,1.85,2.83,5.27,2.44,4.20,0.20,2.44,1.27,2.05,0.98,1.17,0.29,1.07,2.93,1.56,0.59,1.07,0.98,0.98,0.20,0.10,0.88,0.59,0.78,0.98,0.98,1.76,0.20,0.29,0.88,0.98,1.56,0.00,0.68,0.10,0.59,0.78,0.00,0.39,0.20,0.10,2.24,2.44,0.20,0.49,0.59,0.29,0.98,0.00,0.49,0.39,0.10,1.46,0.00,0.78,0.68,0.10,0.00,0.20,0.10,0.59,0.68,0.20,0.39,0.98,0.29,0.39,0.20,0.49,0.00,0.98,0.20,0.10,0.10,0.68,0.00,0.10,0.00,0.39,1.66,2.34,0.49,0.10,0.39,0.29,1.17,0.68,0.10,0.00,0.00,0.00,0.10,0.10,0.20,0.29,0.10,0.00,0.10,0.10,0.10,0.39,0.20,0.00,0.00,0.59,0.20,0.20,0.49,0.10,0.98,0.00,0.00,0.20,0.00,0.00,0.10,0.10,0.00,0.10,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.10,0.00,0.00,2.15,1.07,0.78,0.10,0.00,0.68,0.49,0.00,0.00,0.10,0.10,0.00,0.00,0.29,0.39,0.00,0.00,0.10,0.00,0.10,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.29,0.49,0.00,0.00,0.10,0.20,0.00,0.00,0.00,0.20,0.10,0.29,1.27,0.59,0.49,0.20,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.00,0.10,0.20,0.00,0.88,0.39,1.46,1.46,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.20,0.00,0.98,0.29,0.88,0.10,0.00,0.00,1.56,1.85
25/ii,1.95,3.85,4.46,2.29,1.51,0.78,2.40,2.23,0.17,1.00,0.89,0.28,0.95,1.73,1.90,0.73,0.22,2.18,1.00,0.50,2.01,1.39,0.73,0.89,0.56,0.33,0.39,0.50,0.11,1.51,1.23,0.39,0.89,0.28,0.17,0.33,0.50,0.45,0.67,0.28,0.00,0.61,2.34,0.89,0.39,1.23,0.39,0.39,1.00,1.00,0.67,0.50,0.17,0.39,1.84,2.90,0.11,0.00,0.17,0.22,0.61,0.50,0.00,0.33,0.73,0.61,0.33,0.28,0.06,0.06,0.67,0.45,0.45,0.39,0.00,0.28,0.33,0.28,0.28,1.34,1.51,1.12,0.17,0.33,0.22,0.50,0.33,0.11,0.06,0.00,0.39,0.50,0.33,0.00,0.33,0.56,0.06,0.17,0.06,0.78,0.39,0.33,0.11,0.00,0.89,0.17,0.33,0.00,0.00,0.61,0.28,0.00,0.00,0.17,0.28,0.11,0.00,0.00,1.12,0.11,0.06,0.45,0.45,0.17,0.00,0.00,0.11,0.50,0.00,0.89,1.28,1.17,0.06,0.06,0.33,0.28,0.00,0.50,0.22,0.06,0.06,0.45,0.22,0.22,0.17,1.06,0.28,0.73,0.11,1.62,0.06,0.00,0.56,0.00,0.00,0.11,0.00,0.50,0.11,0.00,0.00,0.00,0.00,0.06,0.00,0.39,0.00,0.00,0.84,0.28,0.61,0.17,0.11,0.45,0.06,0.50,0.00,0.00,0.84,0.17,0.00,0.00,0.00,0.00,0.00,0.28,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.17,0.45,0.00,0.06,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.11,0.00
26,3.92,9.87,12.75,6.99,0.12,0.31,0.55,0.12,0.00,0.25,0.31,0.06,3.56,4.60,3.86,0.80,0.06,2.58,2.08,0.25,0.06,5.40,0.06,0.18,0.31,0.12,0.00,0.31,0.00,0.06,2.27,0.06,0.12,0.00,0.00,0.06,0.00,0.00,0.18,0.00,0.00,3.68,0.55,2.70,0.18,3.13,1.66,0.06,0.00,2.51,0.25,0.25,0.00,0.00,0.12,0.49,0.25,0.06,0.25,0.00,0.06,0.00,0.12,0.18,1.66,0.12,0.00,0.00,0.00,0.25,0.00,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.06,1.47,1.53,0.92,0.06,1.29,0.12,0.06,1.16,0.00,0.12,0.12,1.10,0.25,0.06,0.12,0.12,0.00,0.06,0.00,0.06,0.25,0.00,0.00,0.00,0.00,1.10,0.00,0.18,0.00,0.06,0.06,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.00,0.00,0.00,1.35,0.61,0.12,0.49,0.18,0.18,0.43,0.00,0.06,0.12,0.00,0.12,0.00,0.00,0.06,0.18,0.55,0.00,0.12,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.86,0.25,0.31,0.12,0.00,0.37,0.06,0.06,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.12,0.06,0.12,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.18,0.06
27/iii,3.15,4.79,4.48,4.10,2.02,0.82,2.21,2.59,2.52,0.82,3.28,0.19,1.70,1.39,2.27,1.70,0.50,0.82,1.26,0.50,0.50,2.33,0.44,0.95,1.26,0.57,2.65,0.50,0.13,0.69,1.01,1.20,0.06,1.01,0.25,1.07,0.82,0.06,1.14,0.57,0.00,0.69,0.63,0.82,0.95,0.82,0.13,0.38,0.32,1.83,1.26,0.25,2.40,0.50,0.50,0.63,0.19,0.13,0.00,0.38,0.13,0.88,0.00,0.50,2.02,0.95,0.76,0.38,0.50,0.13,0.76,0.63,0.44,0.38,0.95,0.00,0.06,0.06,0.25,0.63,0.19,0.32,0.32,0.13,0.13,0.00,0.88,0.44,0.00,0.32,0.00,0.32,0.13,0.32,0.13,0.00,0.50,0.00,0.50,0.50,0.32,0.95,0.06,1.01,0.06,0.25,0.06,0.06,0.25,0.44,0.25,0.57,0.06,0.00,0.13,1.26,0.00,0.06,0.57,0.13,0.25,0.19,0.25,0.13,0.06,0.06,0.13,0.06,0.00,0.06,0.00,0.50,0.06,0.06,0.00,0.32,0.19,0.00,0.19,0.13,0.00,0.00,0.06,0.76,0.13,0.00,0.00,0.00,0.19,0.00,0.13,0.13,0.38,0.13,0.00,0.06,0.00,0.06,0.06,0.06,0.13,0.00,0.13,0.00,0.25,0.00,0.06,0.00,0.00,0.06,0.06,0.06,0.06,0.00,0.06,0.00,0.13,0.06,0.00,0.00,0.06,0.06,0.00,0.00,0.19,0.00,0.06,0.13,0.00,0.00,0.06,0.19,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27/i,2.45,2.89,3.49,2.65,2.61,1.40,0.88,1.20,0.24,0.04,1.04,0.44,0.76,1.20,1.72,0.48,1.89,3.33,1.20,0.04,1.08,0.68,0.36,0.96,2.65,0.00,0.80,0.20,0.28,0.60,0.28,0.52,0.28,0.20,0.40,0.16,0.12,0.00,0.28,0.08,0.00,2.05,0.92,0.32,1.44,2.21,0.36,1.40,1.28,0.32,0.40,0.52,0.20,0.16,0.28,1.20,0.80,0.16,0.24,0.24,0.36,0.16,0.20,0.16,0.76,0.96,0.48,0.28,0.40,0.12,0.60,0.24,0.36,0.04,0.72,0.12,0.00,0.00,0.64,0.76,0.28,1.72,0.16,0.16,0.12,1.93,0.56,0.04,0.12,0.08,0.28,0.12,0.48,0.08,0.40,0.32,0.52,0.56,0.00,0.12,0.40,0.36,0.56,0.00,0.52,1.08,0.04,0.48,0.40,0.84,0.20,0.24,0.40,0.00,0.04,0.60,0.00,0.16,0.56,0.16,0.28,0.16,0.08,0.00,0.16,0.00,0.04,0.04,0.00,0.16,0.12,1.24,1.81,0.04,0.44,0.24,0.92,0.00,0.08,0.56,0.08,0.08,1.32,0.28,0.04,0.00,0.00,0.40,0.40,0.32,0.24,0.08,0.40,0.00,0.36,0.08,0.24,0.16,0.52,0.12,0.84,0.04,0.12,0.08,0.00,0.12,0.20,0.00,0.04,0.12,0.40,0.52,0.24,0.32,0.76,0.36,0.00,0.60,0.00,0.20,0.28,0.08,0.20,0.04,0.00,0.12,0.20,0.08,0.04,0.16,0.08,0.00,1.52,0.24,0.00,0.00,0.08,0.16,0.60,0.00,0.28,0.24,1.12,0.36,0.00,0.00,0.16,0.00,0.04,0.08,0.16,0.00,0.16,0.08,0.00,0.00
27/ii,0.92,2.47,1.83,2.29,0.92,3.21,1.56,1.65,0.18,1.37,1.83,0.92,0.00,1.47,1.92,0.37,0.00,1.37,3.94,0.92,0.64,0.64,0.27,1.47,1.19,0.37,0.55,0.00,0.00,0.37,0.55,0.37,0.92,0.18,0.00,0.00,0.27,0.37,0.00,0.55,0.00,0.18,1.65,0.00,0.00,3.02,0.92,1.10,0.18,0.55,0.18,0.00,0.00,0.18,0.00,0.46,0.00,0.55,1.19,1.19,0.18,0.37,0.00,0.18,0.09,0.64,0.00,0.55,0.37,0.73,0.18,0.00,0.00,0.82,0.82,0.00,0.00,0.00,0.09,2.01,0.55,0.18,0.00,0.00,0.37,0.09,0.00,0.18,0.00,0.00,1.28,0.18,2.20,0.18,0.18,0.09,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.19,0.00,1.10,0.00,0.55,0.46,0.00,0.00,0.55,0.18,0.64,0.00,0.00,0.00,0.09,0.00,0.00,0.09,0.27,0.73,0.37,0.00,0.00,0.00,2.01,1.28,0.73,0.00,0.18,0.37,0.00,0.18,0.18,0.18,0.00,0.18,0.00,0.09,0.00,0.00,0.37,0.37,0.73,1.10,0.37,0.00,0.00,0.09,0.55,0.00,0.00,0.18,1.28,1.37,0.37,0.00,0.00,0.00,0.00,0.09,0.00,0.37,0.00,0.92,1.10,1.92,0.92,0.09,0.18,0.00,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.00,0.00,0.00,0.55,0.64,0.27,0.00,1.56,1.10,0.00,0.09,0.00,0.00,0.18,1.47,0.55,0.37,0.00,1.01,0.55,0.00,0.27,0.18,0.18,0.18,0.64,0.00,1.65,0.00,0.73,0.09,0.09,0.55,0.37
